tweet_id,text,airline_sentiment
569179849518161920,@united you're good. Thank you!,positive
569835751275433984,"@AmericanAir way to ruin a vacation, my brother has called all night and had multiple places in line only to get dead air on call back",negative
568588936852799488,"@JetBlue yes thankfully! Catering just got here and now they are loading, but very frustrated. I was supposed to be there by 10-10:30",positive
569525116725567491,@USAirways The automated message isn't helpful and it's impossible to speak with a human right now. Desperately need our luggage :(,negative
568807823187976193,@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,positive
569617089155211265,@AmericanAir just downloaded the app for iPhone.  Notice drink coupon but nothing is displayed?  Getting ready to fly...,neutral
568081386520723456,.@united Don't post a link to an article that verifies the initial complaint with 20+ comments saying the same thing. @harris,negative
570287303681294337,"@JetBlue I'm not sure if you can do anything to help me with that, but if you can that'd be great.",neutral
569658686999818241,"@AmericanAir My baggage is lost, my flight Cancelled Flightled and i get no accommodations? Not even to another airline. At least one free hotel?",negative
569377633894445056,@USAirways Charlotte Staff needs prayer....disappointed in response to mishaps ......lotttttttt of pissed off people here!!!!,negative
569597711789502464,"@USAirways suggest you failures make a HUGE donation to @the_USO  Charlotte, NC as THEY provided GREAT customer service today, unlike you.",negative
570253932880007168,@AmericanAir Please explain why it costs almost the same price of a full roundtrip fair to only change the departure time of a flight?,negative
568829494556897280,"@SouthwestAir so, when your plane doesn't work the luxuries I paid for go away but you keep my money? I need that biz model.",negative
569930252606164993,delete your account @JetBlue,negative
569933360564342784,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,negative
569368160291463168,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,negative
569614085807067136,@AmericanAir they did tell that our luggage stayed inside the plane ! Look this video http://t.co/YokkHHQcMP,negative
568586231409475584,@SouthwestAir seems like you could make more money by opening up seats on a more desirable flight.,neutral
569223862941929472,@SouthwestAir y'all are fast we already have our 5 winners! Congrats!!,positive
569356085359996929,@SouthwestAir everything OK? This is my 3rd call for the day and this time I've been on hold for 1.5 hrs. I'll hang up and try again.,negative
570296996445204480,@AmericanAir that's 16+ extra hours of travel time. Missed vacation time and now you guys are messing with my professional life.,negative
569613272049012736,"@United - In case you're reading this, UA230, right now, 7D. So many oversized carryons taking up too much room. Enforce your rules.",negative
568039503065174016,@SouthwestAir just did last night. Thanks for following up. :),positive
570272465299083264,@USAirways sadly that didn't help me at my meeting at work today seeing as my presentation was in there! Major strike against me!!!,negative
568095662262358016,@united this is me and my partners first trip to #NYC I bought the tickets at the same time Please seat us next to each other ConF# ILC0HP,neutral
569613537158373376,@AmericanAir tried that and can't get through.,negative
569741221783957504,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",negative
568492682152189952,@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,neutral
568229427286405121,@USAirways on Sunday! Can't wait! See you then,positive
569629537400696832,@JetBlue Why are you making it so freaking hard for me to say good things about you??  #jetbluefail http://t.co/v8SB0RBICx,negative
569870657246404608,"@USAirways i have never been treated so poorly by an airline in my life, as a military family we do alot of flying..",negative
569868764495400960,@united at this point I made it home on my own.,negative
568445415768477696,@SouthwestAir @FortuneMagazine Congrats!,positive
568675083314552832,@united alright thank you. Much appreciated.,positive
568077686507229184,@USAirways just realized my @AmericanAir advantage number wasn't used for my flight.  How do I get my ff miles?,neutral
569959122331836416,@JetBlue you guys operate a world class company and for that I thank you,positive
569276042491211777,@SouthwestAir Conf #8Q6MFD Finally got through &amp; told the flight was completely booked.  That would have been better info than advise 2 call,negative
569011048843313153,@united that would have been nice earlier  today. Too Late Flight now. I hope.,negative
569560633957609472,@united will do. Just need to get CVG.... and my bag too. Thanks,positive
569999529677852672,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable,negative
570003343222964224,@USAirways strikes again--Late Flight crew #3/4 for the trip and maintenance #2/4.  Worth the extra $200/trip for less hassle and fewer delays,negative
569213892980641792,@united Friend at O'Hare and can't get on flight bc they say no proof he bought 1st class tkt. He has boarding pass.,negative
569961398551379968,@AmericanAir We don't mind the fee! We were told we can't change name on ticket at all.,negative
569421478460063745,@USAirways on hold 2.5 hrs trying to reschedule our flight. Can anyone there please help us?,negative
568510570799869952,Thanks @SouthwestAir ! #heartlanta,positive
569961410161192960,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.,negative
570236014238699521,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",negative
567802111321444352,"@united do you think there Will problems at Newark, NJ on Saturday due to expected snow?",neutral
568812654346653697,@JetBlue OK cool.  I need to listen to some Dre and Snoop en route to LA.  That would have been a shame.,neutral
567935527481188352,@JetBlue Anywhere warm cause its freezing in NYC,neutral
569303931916038144,@VirginAmerica you suck!,negative
568804534845345792,@USAirways can I book using some sort of breavement program? I need to get home for my pops funeral,neutral
568922138348019712,@USAirways @AmericanAir terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.,negative
568564757172764672,@united And there is no direct phone number for status match desk? I really regret Flight Booking Problems with @united now.,negative
568880082606911488,@SouthwestAir how many left?! I'm 15 min wway,neutral
570011200613806082,👉🚪RT @JetBlue: Our fleet's on fleek. http://t.co/dSDEbodmEL,neutral
569621528951660545,@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!,negative
568274855814152192,@united I want a hotel room and a whiskey.,neutral
568800805475782656,@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,neutral
570257258275164160,@AmericanAir Flight 2559 it's been delayed every hour since 8:55 am.,negative
567822548545859587,@united well perhaps you could highlight where that is stated.  We travel between Canada &amp; USA on United with only Nexus,negative
569630712233627648,"@USAirways told me I deserved to be delayed because I booked the last flight and then I hear ""the only inconvience is missing your flight""",negative
568246093856641024,"@united you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't",negative
569261495449595905,@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,negative
567714192980201472,@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies,negative
